{'Doc#': 252, 'Term': 'a.r.a', 'Freq': 1}
{'Doc#': 1125, 'Term': 'a.s.m.e', 'Freq': 1}
{'Doc#': 744, 'Term': 'ab', 'Freq': 1}
{'Doc#': 122, 'Term': 'abbrevi', 'Freq': 1}
{'Doc#': 738, 'Term': 'abil', 'Freq': 1}
{'Doc#': 51, 'Term': 'abil', 'Freq': 1}
{'Doc#': 77, 'Term': 'abil', 'Freq': 1}
{'Doc#': 99, 'Term': 'abl', 'Freq': 1}
{'Doc#': 914, 'Term': 'abl', 'Freq': 1}
{'Doc#': 986, 'Term': 'abl', 'Freq': 1}
{'Doc#': 1114, 'Term': 'abl', 'Freq': 1}
{'Doc#': 132, 'Term': 'abl', 'Freq': 1}
{'Doc#': 695, 'Term': 'abl', 'Freq': 1}
{'Doc#': 763, 'Term': 'abl', 'Freq': 1}
{'Doc#': 908, 'Term': 'abl', 'Freq': 1}
{'Doc#': 581, 'Term': 'abl', 'Freq': 1}
{'Doc#': 536, 'Term': 'abl', 'Freq': 1}
{'Doc#': 82, 'Term': 'ablat', 'Freq': 1}
{'Doc#': 274, 'Term': 'ablat', 'Freq': 2}
{'Doc#': 1226, 'Term': 'ablat', 'Freq': 2}
{'Doc#': 1098, 'Term': 'ablat', 'Freq': 2}
{'Doc#': 1065, 'Term': 'ablat', 'Freq': 1}
{'Doc#': 1100, 'Term': 'ablat', 'Freq': 3}
{'Doc#': 1099, 'Term': 'ablat', 'Freq': 3}
{'Doc#': 1241, 'Term': 'ablat', 'Freq': 2}
{'Doc#': 553, 'Term': 'ablat', 'Freq': 6}
{'Doc#': 1096, 'Term': 'ablat', 'Freq': 1}
{'Doc#': 1101, 'Term': 'ablat', 'Freq': 1}
{'Doc#': 1097, 'Term': 'ablat', 'Freq': 6}
{'Doc#': 1065, 'Term': 'ablatedlength', 'Freq': 1}
{'Doc#': 1279, 'Term': 'ablation', 'Freq': 1}
{'Doc#': 1101, 'Term': 'ablation-r', 'Freq': 1}
{'Doc#': 1114, 'Term': 'able-v', 'Freq': 1}
{'Doc#': 296, 'Term': 'above-ment', 'Freq': 1}
{'Doc#': 46, 'Term': 'abovement', 'Freq': 1}
{'Doc#': 1039, 'Term': 'abrupt', 'Freq': 1}
{'Doc#': 576, 'Term': 'abrupt-stal', 'Freq': 1}
{'Doc#': 588, 'Term': 'abrupt-stal', 'Freq': 1}
{'Doc#': 662, 'Term': 'abruptli', 'Freq': 1}
{'Doc#': 992, 'Term': 'abruptli', 'Freq': 1}
{'Doc#': 439, 'Term': 'abruptli', 'Freq': 1}
{'Doc#': 1281, 'Term': 'absenc', 'Freq': 1}
{'Doc#': 757, 'Term': 'absenc', 'Freq': 1}
{'Doc#': 152, 'Term': 'absenc', 'Freq': 1}
{'Doc#': 1323, 'Term': 'absenc', 'Freq': 1}
{'Doc#': 966, 'Term': 'absenc', 'Freq': 1}
{'Doc#': 499, 'Term': 'absenc', 'Freq': 2}
{'Doc#': 1237, 'Term': 'absenc', 'Freq': 1}
{'Doc#': 1147, 'Term': 'absenc', 'Freq': 1}
{'Doc#': 1321, 'Term': 'absenc', 'Freq': 1}
{'Doc#': 628, 'Term': 'absent', 'Freq': 1}
{'Doc#': 1003, 'Term': 'absolut', 'Freq': 2}
{'Doc#': 987, 'Term': 'absolut', 'Freq': 1}
{'Doc#': 1395, 'Term': 'absolut', 'Freq': 1}
{'Doc#': 562, 'Term': 'absolut', 'Freq': 1}
{'Doc#': 1010, 'Term': 'absolut', 'Freq': 1}
{'Doc#': 1261, 'Term': 'absolut', 'Freq': 1}
{'Doc#': 474, 'Term': 'absolut', 'Freq': 1}
{'Doc#': 460, 'Term': 'absolut', 'Freq': 1}
{'Doc#': 62, 'Term': 'absolut', 'Freq': 2}
{'Doc#': 1035, 'Term': 'absolut', 'Freq': 1}
{'Doc#': 414, 'Term': 'absolut', 'Freq': 1}
{'Doc#': 164, 'Term': 'absorb', 'Freq': 1}
{'Doc#': 881, 'Term': 'absorb', 'Freq': 1}
{'Doc#': 1200, 'Term': 'absorb', 'Freq': 1}
{'Doc#': 1244, 'Term': 'absorb', 'Freq': 1}
{'Doc#': 1279, 'Term': 'absorb', 'Freq': 1}
{'Doc#': 353, 'Term': 'absorb', 'Freq': 1}
{'Doc#': 1147, 'Term': 'absorb', 'Freq': 1}
{'Doc#': 163, 'Term': 'absorb', 'Freq': 1}
{'Doc#': 373, 'Term': 'absorb', 'Freq': 1}
{'Doc#': 1316, 'Term': 'absorpt', 'Freq': 1}
{'Doc#': 620, 'Term': 'absorpt', 'Freq': 2}
{'Doc#': 1346, 'Term': 'absorpt', 'Freq': 1}
