{'term': 'aerodynamic', 'TotFreq': 2, 'Ndocs': 2, 'term_length': 11}
{'term': 'aeroelastic', 'TotFreq': 2, 'Ndocs': 2, 'term_length': 11}
{'term': 'aileron', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 7}
{'term': 'air', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 3}
{'term': 'aircraft', 'TotFreq': 2, 'Ndocs': 2, 'term_length': 8}
{'term': 'analytical', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 10}
{'term': 'angle', 'TotFreq': 4, 'Ndocs': 3, 'term_length': 5}
{'term': 'anyone', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 6}
{'term': 'applicable', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 10}
{'term': 'approximate', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 11}
{'term': 'approximation', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 13}
{'term': 'associate', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 9}
{'term': 'assumption', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 10}
{'term': 'attack', 'TotFreq': 4, 'Ndocs': 3, 'term_length': 6}
{'term': 'available', 'TotFreq': 4, 'Ndocs': 4, 'term_length': 9}
{'term': 'base', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 4}
{'term': 'basic', 'TotFreq': 2, 'Ndocs': 2, 'term_length': 5}
{'term': 'behaviour', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 9}
{'term': 'blast', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 5}
{'term': 'body', 'TotFreq': 4, 'Ndocs': 4, 'term_length': 4}
{'term': 'buzz', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 4}
{'term': 'calculate', 'TotFreq': 2, 'Ndocs': 2, 'term_length': 9}
{'term': 'channel', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 7}
{'term': 'chemical', 'TotFreq': 2, 'Ndocs': 2, 'term_length': 8}
{'term': 'chemically', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 10}
{'term': 'combine', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 7}
{'term': 'composite', 'TotFreq': 1, 'Ndocs': 1, 'term_length': 9}
