{'doclen': 11, 'docnum': 1}
{'doclen': 8, 'docnum': 2}
{'doclen': 7, 'docnum': 3}
{'doclen': 18, 'docnum': 4}
{'doclen': 7, 'docnum': 5}
{'doclen': 7, 'docnum': 6}
{'doclen': 18, 'docnum': 7}
{'doclen': 12, 'docnum': 8}
{'doclen': 7, 'docnum': 9}
{'doclen': 9, 'docnum': 10}
{'doclen': 8, 'docnum': 11}
{'doclen': 8, 'docnum': 12}
{'doclen': 5, 'docnum': 13}
{'doclen': 4, 'docnum': 14}
{'doclen': 4, 'docnum': 15}
{'doclen': 9, 'docnum': 16}
{'doclen': 10, 'docnum': 17}
{'doclen': 8, 'docnum': 18}
{'doclen': 13, 'docnum': 19}
{'doclen': 10, 'docnum': 20}
