{'max_tf': 1, 'Doc#': 5, 'Term': 'aerodynamic', 'Freq': 1, 'doclen': 7}
{'max_tf': 1, 'Doc#': 12, 'Term': 'aerodynamic', 'Freq': 1, 'doclen': 8}
{'max_tf': 1, 'Doc#': 1, 'Term': 'aeroelastic', 'Freq': 1, 'doclen': 11}
{'max_tf': 1, 'Doc#': 2, 'Term': 'aeroelastic', 'Freq': 1, 'doclen': 8}
{'max_tf': 1, 'Doc#': 13, 'Term': 'aileron', 'Freq': 1, 'doclen': 5}
{'max_tf': 1, 'Doc#': 10, 'Term': 'air', 'Freq': 1, 'doclen': 9}
{'max_tf': 1, 'Doc#': 1, 'Term': 'aircraft', 'Freq': 1, 'doclen': 11}
{'max_tf': 1, 'Doc#': 2, 'Term': 'aircraft', 'Freq': 1, 'doclen': 8}
{'max_tf': 1, 'Doc#': 11, 'Term': 'analytical', 'Freq': 1, 'doclen': 8}
{'max_tf': 2, 'Doc#': 7, 'Term': 'angle', 'Freq': 2, 'doclen': 18}
{'max_tf': 2, 'Doc#': 8, 'Term': 'angle', 'Freq': 1, 'doclen': 12}
{'max_tf': 1, 'Doc#': 18, 'Term': 'angle', 'Freq': 1, 'doclen': 8}
{'max_tf': 1, 'Doc#': 20, 'Term': 'anyone', 'Freq': 1, 'doclen': 10}
{'max_tf': 1, 'Doc#': 5, 'Term': 'applicable', 'Freq': 1, 'doclen': 7}
{'max_tf': 2, 'Doc#': 8, 'Term': 'approximate', 'Freq': 1, 'doclen': 12}
{'max_tf': 1, 'Doc#': 11, 'Term': 'approximation', 'Freq': 1, 'doclen': 8}
{'max_tf': 1, 'Doc#': 2, 'Term': 'associate', 'Freq': 1, 'doclen': 8}
{'max_tf': 1, 'Doc#': 4, 'Term': 'assumption', 'Freq': 1, 'doclen': 18}
{'max_tf': 2, 'Doc#': 7, 'Term': 'attack', 'Freq': 2, 'doclen': 18}
{'max_tf': 2, 'Doc#': 8, 'Term': 'attack', 'Freq': 1, 'doclen': 12}
{'max_tf': 1, 'Doc#': 18, 'Term': 'attack', 'Freq': 1, 'doclen': 8}
{'max_tf': 2, 'Doc#': 7, 'Term': 'available', 'Freq': 1, 'doclen': 18}
{'max_tf': 2, 'Doc#': 8, 'Term': 'available', 'Freq': 1, 'doclen': 12}
{'max_tf': 1, 'Doc#': 10, 'Term': 'available', 'Freq': 1, 'doclen': 9}
{'max_tf': 1, 'Doc#': 18, 'Term': 'available', 'Freq': 1, 'doclen': 8}
{'max_tf': 1, 'Doc#': 4, 'Term': 'base', 'Freq': 1, 'doclen': 18}
{'max_tf': 1, 'Doc#': 13, 'Term': 'basic', 'Freq': 1, 'doclen': 5}
{'max_tf': 1, 'Doc#': 19, 'Term': 'basic', 'Freq': 1, 'doclen': 13}
{'max_tf': 1, 'Doc#': 6, 'Term': 'behaviour', 'Freq': 1, 'doclen': 7}
{'max_tf': 1, 'Doc#': 11, 'Term': 'blast', 'Freq': 1, 'doclen': 8}
{'max_tf': 2, 'Doc#': 8, 'Term': 'body', 'Freq': 1, 'doclen': 12}
{'max_tf': 1, 'Doc#': 16, 'Term': 'body', 'Freq': 1, 'doclen': 9}
{'max_tf': 2, 'Doc#': 17, 'Term': 'body', 'Freq': 1, 'doclen': 10}
{'max_tf': 1, 'Doc#': 18, 'Term': 'body', 'Freq': 1, 'doclen': 8}
