{'docnum': 1, 'title': 'experimental investigation of the aerodynamics of awing in a slipstream .'}
{'docnum': 2, 'title': 'simple shear flow past a flat plate in an incompressible fluid of smallviscosity .'}
{'docnum': 3, 'title': 'the boundary layer in simple shear flow past a flat plate .'}
{'docnum': 4, 'title': 'approximate solutions of the incompressible laminarboundary layer equations for a plate in shear flow .'}
{'docnum': 5, 'title': 'one-dimensional transient heat conduction into a double-layerslab subjected to a linear heat input for a small timeinternal .'}
{'docnum': 6, 'title': 'one-dimensional transient heat flow in a multilayerslab .'}
{'docnum': 7, 'title': 'the effect of controlled three-dimensional roughnesson boundary layer transition at supersonic speeds .'}
{'docnum': 8, 'title': 'measurements of the effect of two-dimensional and three-dimensionalroughness elements on boundary layer transition .'}
{'docnum': 9, 'title': 'transition studies and skin friction measurements onan insulated flat plate at a mach number of 5.8.'}
{'docnum': 10, 'title': 'the theory of the impact tube at low pressure .'}
{'docnum': 11, 'title': 'similar solutions in compressible laminar free mixingproblems .'}
{'docnum': 12, 'title': 'some structural and aerelastic considerations of highspeed flight .'}
{'docnum': 13, 'title': 'similarity laws for stressing heated wings .'}
{'docnum': 14, 'title': 'piston theory - a new aerodynamic tool for the aeroelastician.'}
{'docnum': 15, 'title': 'on two-dimensional panel flutter .'}
{'docnum': 16, 'title': 'transformation of the compressible turbulent boundarylayer .'}
{'docnum': 17, 'title': 'remarks on the eddy viscosity in compressible mixing flows .'}
{'docnum': 18, 'title': 'the flow field in the diffuser of a radial compressor .'}
{'docnum': 19, 'title': 'an investigation of the pressure distribution on conical bodies inhypersonic flows .'}
{'docnum': 20, 'title': 'generalised-newtonian theory .'}
{'docnum': 21, 'title': 'on heat transfer in slip flow .'}
{'docnum': 22, 'title': 'on slip-flow heat transfer to a flat plate .'}
{'docnum': 23, 'title': 'skin-friction and heat transfer characteristics ofa laminar boundary layer on a cylinder in axial incompressibleflow .'}
{'docnum': 24, 'title': 'theory of stagnation point heat transfer in dissociatedair .'}
{'docnum': 25, 'title': 'inviscid hypersonic flow over blunt-nosed slender bodies .'}
{'docnum': 26, 'title': 'inviscid leading-edge effect in hypersonic flow .'}
{'docnum': 27, 'title': 'newtonian flow theory for slender bodies .'}
{'docnum': 28, 'title': 'a note on the explosion solution of sedov with applicationto the newtonian theory of unsteady hypersonic flow .'}
{'docnum': 29, 'title': 'a simple model study of transient temperature and thermalstress distribution due to aerodynamic heating .'}
{'docnum': 30, 'title': 'photo-thermoelastic investigation of transient thermalstresses in a multiweb wing structure .'}
{'docnum': 31, 'title': 'thermal buckling of supersonic wing panels .'}
{'docnum': 32, 'title': 'the dynamic motion of a missile descending throughthe atmosphere .'}
{'docnum': 33, 'title': 'the prospects for magneto-aerodynamics .'}
{'docnum': 34, 'title': 'constant-temperature magneto-gasdynamic channel flow .'}
{'docnum': 35, 'title': 'stagnation point of a blunt body in hypersonic flow .'}
{'docnum': 36, 'title': 'supersonic flow around blunt bodies .'}
{'docnum': 37, 'title': 'a new technique for investigating heat transfer andsurface phenomena under hypersonic flow conditions .'}
{'docnum': 38, 'title': 'on the prediction of mixed subsonic/supersonic pressuredistributions .'}
{'docnum': 39, 'title': 'on the flow of a sonic stream past an airfoil surface .'}
{'docnum': 40, 'title': 'experiments on boundary layer transition at supersonicspeeds .'}
{'docnum': 41, 'title': 'on transition experiments at moderate supersonic speeds .'}
{'docnum': 42, 'title': 'the gyroscopic effect of a rigid rotating propelleron engine and wing vibration modes .'}
{'docnum': 43, 'title': 'the relation between wall temperature and the effectof roughness on boundary layer transition .'}
{'docnum': 44, 'title': 'tip-bluntness effects on cone pressures at m=6.85.'}
{'docnum': 45, 'title': 'an investigation of separated flows, part ii: flowin the cavity and heat transfer .'}
{'docnum': 46, 'title': 'some comments on the inversion of certain large matrices .'}
{'docnum': 47, 'title': 'analysis of low-aspect-ratio aircraft structures .'}
{'docnum': 48, 'title': 'supersonic flow at the surface of a circular cone atangle of attack .'}
{'docnum': 49, 'title': 'temperature and velocity profiles in the compressiblelaminar boundary layer with arbitrary distributionof surface temperature .'}
{'docnum': 50, 'title': 'investigation of laminar boundary layer in compressiblefluids using the crocco method .'}
{'docnum': 51, 'title': 'theory of aircraft structural models subjected to aerodynamicheating and external loads .'}
{'docnum': 52, 'title': 'procedure for calculating flutter at high supersonicspeed including camber deflections, and comparisonwith experimental results .'}
{'docnum': 53, 'title': 'transition reynolds numbers of separated flows at supersonicspeeds .'}
{'docnum': 54, 'title': 'method for calculation of compressible laminar boundarylayer characteristics in axial pressure gradient withzero heat transfer .'}
{'docnum': 55, 'title': 'separation, stability and other properties of compressiblelaminar boundary layer with pressure gradient and heattransfer .'}
{'docnum': 56, 'title': 'an analysis of the applicability of the hypersonicsimilarity law to the study of the flow about bodiesof revolution at zero angle of attack .'}
{'docnum': 57, 'title': 'applicability of the hypersonic similarity rule topressure distributions which include the effects ofrotation for bodies of revolution at zero angle ofattack .'}
{'docnum': 58, 'title': 'pressure measurements on sharp and blunt 5 and 15 half-anglecones at mach number 3.86 and angles of attack to100 .'}
{'docnum': 59, 'title': 'tables of exact laminar-boundary layer solutions whenthe wall is porous and fluid properties are variable .'}
{'docnum': 60, 'title': 'estimation forces and moments due to rolling for severalslender tail configurations at supersonic speeds .'}
{'docnum': 61, 'title': 'on flow of electrically conducting fluids over a flatplate in the presence of a transverse magnetic field .'}
{'docnum': 62, 'title': 'similar solutions for the compressible laminar boundarylayer with heat transfer and pressure gradient .'}
{'docnum': 63, 'title': 'hypersonic viscous flow over slender cones .'}
{'docnum': 64, 'title': 'unsteady oblique interaction of a shock wave with planedisturbances .'}
{'docnum': 65, 'title': 'convection of a pattern of vorticity through a shockwave .'}
{'docnum': 66, 'title': 'some effects of joint conductivity on the temperatureand thermal stresses in aerodynamically heated skin-stiffenercombinations .'}
{'docnum': 67, 'title': 'dynamic stability of vehicles traversing ascendingor descending paths through the atmosphere .'}
{'docnum': 68, 'title': 'some aspects of air-helium simulation and hypersonicapproximations .'}
{'docnum': 69, 'title': 'predicted shock envelopes about two types of vehiclesat large angles of attack .'}
{'docnum': 70, 'title': 'a study of flow changes associated with airfoil sectiondrag rise at supercritical speeds .'}
{'docnum': 71, 'title': 'laminar boundary layer behind shock advancing intostationary fluid .'}
{'docnum': 72, 'title': 'boundary layer behind shock or thin expansion wavemoving into stationary fluid .'}
{'docnum': 73, 'title': 'investigation of the stability of the laminar boundarylayer in a compressible fluid .'}
{'docnum': 74, 'title': 'an experimental study of the turbulen coundary layeron a shock tube wall .'}
{'docnum': 75, 'title': 'studies of structural failure due to acoustic loading .'}
{'docnum': 76, 'title': 'flight measurement of wall pressure fluctuations andboundary-layer turbulence .'}
{'docnum': 77, 'title': 'a comparative analysis of the performance of long rangehypervelocity vehicles .'}
{'docnum': 78, 'title': 'an analytical treatment of aircraft propeller precessioninstability .'}
{'docnum': 79, 'title': 'effects of extreme surface cooling on boundary layertransition .'}
{'docnum': 80, 'title': 'effect of distributed three-dimensional roughness andsurface cooling on boundary layer transition and lateralspread of turbulence at supersonic speeds .'}
{'docnum': 81, 'title': 'compressible laminar flow and heat transfer about arotating isothermal disk .'}
{'docnum': 82, 'title': 'theoretical investigation of the ablation of a glass-typeheat protection shield of varied material propertiesat the stagnation point of a re-entering irbm .'}
{'docnum': 83, 'title': 'discussion of solar proton events and manned spaceflights .'}
{'docnum': 84, 'title': 'experimental investigation of the downstream influenceof stagnation point mass transfer .'}
{'docnum': 85, 'title': 'on trails of axisymmetric hypersonic blunt bodies flyingthrough the atmosphere .'}
{'docnum': 86, 'title': 'inviscid-incompressible flow theory of static peripheraljets in proximity to the ground .'}
{'docnum': 87, 'title': 'free-convection magnetohydrodynamic flow past a porous flat plate .'}
{'docnum': 88, 'title': 'magnetohydrodynamic free-convection pipe flow .'}
{'docnum': 89, 'title': 'an investigation of separated flows, part i: the pressurefield .'}
{'docnum': 90, 'title': 'periodic temperature distributions in a two-layer compositeslab .'}
{'docnum': 91, 'title': 'periodic temperature distribution in a two-layer composite slab .'}
{'docnum': 92, 'title': 'the analysis of redundant structures by the use ofhigh-speed digital computers .'}
{'docnum': 93, 'title': 'the supersonic blunt body problem - review and extensions .'}
{'docnum': 94, 'title': 'the transverse curvature effect in compressible axiallysymmetric laminar boundary layer flow .'}
{'docnum': 95, 'title': 'temperature distribution and thermal stresses in amodel of a supersonic wing .'}
{'docnum': 96, 'title': 'review of published data on the effect of roughness on transition fromlaminar to turbulent flow .'}
{'docnum': 97, 'title': 'a mixing theory for the interaction between dissipativeflows and nearly isentropic streams .'}
{'docnum': 98, 'title': 'heat transfer by laminar flow to a rotating plate .'}
{'docnum': 99, 'title': 'the fundamentals of the statistical theory of turbulence .'}
{'docnum': 100, 'title': 'vibration isolation of aircraft power plants .'}
{'docnum': 101, 'title': 'laminar heat transfer over blunt-nosed bodies at hypersonic flightspeeds .'}
{'docnum': 102, 'title': 'advantages and limitations of models .'}
{'docnum': 103, 'title': 'theory of mixing and chemical reaction in the opposedjet diffusion flame .'}
{'docnum': 104, 'title': 'similar solutions of a free convection boundary layerequation for an electrically conducting fluid .'}
{'docnum': 105, 'title': 'the asymptotic boundary layer on a circular cylinderin axial incompressible flow .'}
{'docnum': 106, 'title': 'the transverse potential flow past a body of revolution .'}
{'docnum': 107, 'title': 'on the mixing of two parallel streams .'}
{'docnum': 108, 'title': 'properties of the confluent hypergeometric function .'}
{'docnum': 109, 'title': 'the production of uniform shear flow in a wind tunnel .'}
{'docnum': 110, 'title': 'dynamics of a dissociating gas .'}
{'docnum': 111, 'title': 'the laminar boundary layer equation: a method of solutionby means of an automatic computer .'}
{'docnum': 112, 'title': 'steady motion of conducting fluids in pipes under transversemagnetic fields .'}
{'docnum': 113, 'title': 'acoustical signal detection in turbulent airflow .'}
{'docnum': 114, 'title': 'response of plates to a decaying and convecting randonpressure field .'}
{'docnum': 115, 'title': 'on turbulent lubrication .'}
{'docnum': 116, 'title': 'the elliptic cylinder in a shear flow with hyperbolicvelocity profile .'}
{'docnum': 117, 'title': 'the motion of a viscous liquid past a paraboloid .'}
{'docnum': 118, 'title': 'the transonic flow of a compressible fluid throughan axially symmetrical nozzle .'}
{'docnum': 119, 'title': 'conduction of fluctuating heat flow in a wall consistingof many layers .'}
{'docnum': 120, 'title': 'measurement of convective heat transfer by means ofthe reynolds analogy .'}
{'docnum': 121, 'title': 'a theory for base pressures in transonic and supersonicflow .'}
{'docnum': 122, 'title': 'a simplified approximate method for the calculation of the pressurearound conical bodies of arbitrary shape in supersonic and hypersonicflow .'}
{'docnum': 123, 'title': 'the downstream influence of mass transfer at the noseof a slender cone .'}
{'docnum': 124, 'title': 'a summary of the supersonic pressure drag of bodiesof revolution .'}
{'docnum': 125, 'title': 'measurements of skin friction of the compressible turbulentboundary layer on a cone with foreign gas injection .'}
{'docnum': 126, 'title': 'an investigation of two-dimensional supersonic basepressures .'}
{'docnum': 127, 'title': 'supersonic axially symmetric nozzles .'}
{'docnum': 128, 'title': 'effects of free stream vorticity on the behaviour ofa viscous boundary layer .'}
{'docnum': 129, 'title': 'an investigation of the noise produced by a subsonic air jet .'}
{'docnum': 130, 'title': 'the behaviour of non-linear systems .'}
{'docnum': 131, 'title': 'two-dimensional jet mixing of a compressible fluid .'}
{'docnum': 132, 'title': 'viscosity effects in sound waves of finite amplitude:in survey in mechanics .'}
{'docnum': 133, 'title': 'some effects of surface curvature on laminar boundarylayer flow .'}
{'docnum': 134, 'title': 'note on an interaction between the boundary layer and the inviscidflow .'}
{'docnum': 135, 'title': 'the calculation of wall shearing stress from heat-transfer measurementsin compressible flows .'}
{'docnum': 136, 'title': 'recent developments in rocket nozzle configurations .'}
{'docnum': 137, 'title': 'the generation of sound by aerodynamic means .'}
{'docnum': 138, 'title': 'wakes in axial compressors .'}
{'docnum': 139, 'title': 'viscous effects on pitot tubes at low speeds .'}
{'docnum': 140, 'title': 'the determination of turbulent skin friction by meansof pitot tubes .'}
{'docnum': 141, 'title': 'free-flight techniques for high speed aerodynamic research .'}
